lemma	pos	count
tiurkai	N	354
užkabinėti	V	354
vagiliavimas	N	354
Vaiteliai	Ng	354
vapsvaėdis	N	354
Žalandauskas	Ns	354
Albervilis	Ng	353
amžinis	A	353
arklininkystė	N	353
Bičkus	Ns	353
bonza	N	353
Dabrišius	Ns	353
dekadansas	N	353
dialoginis	A	353
drumstėja	N	353
Dumblis	Ng	353
Dzienienė	Ns	353
gestapininkas	N	353
Grikštaitė	Ns	353
hipotetiškai	R	353
kilometražas	N	353
Kovšovas	Ns	353
Linksmučiai	Ng	353
Makštutienė	Ns	353
maleinas	N	353
Matiliauskas	Ns	353
Meira	Ns	353
mikologinis	A	353
Minerva	Nf	353
Mundrytė	Ns	353
Naujiena	Ng	353
neeksperimentuoti	V	353
Nekrevičienė	Ns	353
neokupuoti	V	353
neprasibrauti	V	353
nesusipainioti	V	353
neužsisklęsti	V	353
niežtėti	V	353
pančioti	V	353
Papis	Ng	353
paslydimas	N	353
patiesalas	N	353
Pimpienė	Ns	353
polivinilchloridas	N	353
prisikalbinti	V	353
pusplikis	A	353
rankšluostinis	A	353
rubuilis	N	353
sakalinis	A	353
Šaltys	Ns	353
Sidnis	Ng	353
Sotvarienė	Ns	353
stajerė	N	353
standžiai	R	353
susikelti	V	353
Varčia	Ng	353
Bagaslaviškis	Ng	352
besigirti	V	352
Blažiūnas	Ns	352
čirškinti	V	352
dotavimas	N	352
džiūvimas	N	352
Gailiušis	Ns	352
Garuckas	Ns	352
generalizuoti	V	352
Gerdžiūnas	Ns	352
Gincas	Ns	352
Imbradas	Ng	352
kalnapušė	N	352
kapiliarinis	A	352
karštakošiškas	A	352
Klemensa	Nf	352
Kličius	Ns	352
Krisiūnas	Ns	352
kuprė	N	352
Lekeckas	Ns	352
Majauskienė	Ns	352
marinavimas	N	352
mecenatystė	N	352
moksleivija	N	352
molžemis	N	352
neatgaivinti	V	352
nekirpti	V	352
nenulaikyti	V	352
neregistravimas	N	352
nesaugojimas	N	352
okeanografija	N	352
Pakerienė	Ns	352
permerkti	V	352
platanas	N	352
pogulis	N	352
prošal	R	352
Prušinskas	Ns	352
Raguckienė	Ns	352
Ratkus	Ns	352
savistaba	N	352
seržantė	N	352
šlyti	V	352
Subartonys	Ng	352
trankiai	R	352
užginti	V	352
vagelė	N	352
VGI	Y	352
Žigaitis	Ns	352
Žitkus	Ns	352
Alauša	Ng	351
amalgama	N	351
apmušti	V	351
apsigynimas	N	351
Askaras	Nf	351
atšliaužti	V	351
Beinoravičius	Ns	351
besišaukti	V	351
brazdinti	V	351
Bugys	Ns	351
centruoti	V	351
Daubaris	Ns	351
deguoninis	A	351
dievulėlis	N	351
diplomantė	N	351
Dižonas	Ng	351
Domaševičius	Ns	351
ėdesys	N	351
fiuzeliažas	N	351
griebtuvas	N	351
išravėti	V	351
Jonikaitė	Ns	351
Jozėnas	Ns	351
Junkilai	Ng	351
Kalėdienė	Ns	351
komandiravimas	N	351
Krutinis	Ns	351
maloningai	R	351
miegalius	N	351
Mikaliūnas	Ns	351
Mintautas	Ns	351
neįstrigti	V	351
nesusikirsti	V	351
Pajiešmeniai	Ng	351
pamažėl	R	351
pasaulėvoka	N	351
peržegnoti	V	351
pitbulterjeras	N	351
pritekėti	V	351
Prosperas	Nf	351
raseiniškė	N	351
reminiscencija	N	351
Renesansas	Np	351
Rimgailė	Nf	351
rūgštėjimas	N	351
smaigstyti	V	351
Smilgevičius	Ns	351
suieškoti	V	351
sukimšti	V	351
švarintis	V	351
švediškai	R	351
švysčioti	V	351
terabaitas	N	351
Triškutė	Ns	351
Tvarijonavičius	Ns	351
užtinti	V	351
vakardiena	N	351
Valauskas	Ns	351
Žvirbloniai	Ng	351
aeracija	N	350
amorfinis	A	350
apdumti	V	350
asmenybinis	A	350
autoironija	N	350
beržynė	N	350
besivolioti	V	350
čiulpimas	N	350
detalizacija	N	350
drenažinis	A	350
drevėtas	A	350
egiptietė	N	350
ekskliuzyvinis	A	350
ekstravagantiškai	R	350
Gaižauskienė	Ns	350
Girnis	Ns	350
gramzda	N	350
Grybauskienė	Ns	350
hidratas	N	350
hidraulika	N	350
hipoksija	N	350
Išarienė	Ns	350
Jagelavičienė	Ns	350
kermetas	N	350
kompromitacija	N	350
kuoras	N	350
Kuzas	Ns	350
kvalifikuotis	V	350
Langas	Ns	350
LGA	Y	350
maniakiškas	A	350
merdėjimas	N	350
MVA	Y	350
nebeprivalėti	V	350
nederlius	N	350
nepasklisti	V	350
nerūkti	V	350
nesivaldyti	V	350
nestandartiškai	R	350
nesterilus	A	350
neuroleptikas	N	350
ožkelė	N	350
Palionienė	Ns	350
pasinėrimas	N	350
Pavarotis	Ns	350
performinimas	N	350
perlenkimas	N	350
perpardavinėjimas	N	350
plebėjas	N	350
ploninti	V	350
prisitraukimas	N	350
renginukas	N	350
rezignacija	N	350
ropinis	A	350
santimas	N	350
šiandie	R	350
škuna	N	350
Stelionienė	Ns	350
sūrumas	N	350
susakyti	V	350
Tamošaitienė	Ns	350
tarpuvaldis	N	350
tikruma	N	350
Tvenas	Ns	350
uzurpatorius	N	350
Vaitoška	Ns	350
vėpsoti	V	350
vintažas	N	350
žvaigždūnė	N	350
žvangutis	N	350
atsikosėti	V	349
atsirašinėjimas	N	349
beoris	A	349
Beržė	Ng	349
Breikštas	Ns	349
dolerinis	A	349
dundesys	N	349
ekskursantė	N	349
ekspertuoti	V	349
empirizmas	N	349
Ešerinis	Ng	349
gėrėjas	N	349
Girdzijauskaitė	Ns	349
hutas	N	349
išgėrimas	N	349
išmokslinti	V	349
Jarušauskas	Ns	349
Kiaulakis	Ns	349
Kirkliauskaitė	Ns	349
konkordatas	N	349
kooperacinis	A	349
kumštelis	N	349
Lideikienė	Ns	349
Limontas	Ns	349
LKC	Y	349
Mikšta	Ns	349
muštras	N	349
nedidis	A	349
neįsakyti	V	349
neįsisteigti	V	349
neiškrauti	V	349
nenusišypsoti	V	349
nepedagoginis	A	349
neringiškė	N	349
neužsisegti	V	349
Nivinskas	Ns	349
Padleckis	Ns	349
pasigalynėti	V	349
Petrulionienė	Ns	349
Plepys	Ns	349
protaka	N	349
radža	N	349
saksai	N	349
Skrupskis	Ns	349
šliurė	N	349
spardymas	N	349
tekintoja	N	349
Varnagiris	Ns	349
vienmintė	N	349
Žydris	Nf	349
zyzimas	N	349
žuvitakis	N	349
Antanavičiūtė	Ns	348
atitirpinti	V	348
automatizacija	N	348
benamystė	N	348
Bertašienė	Ns	348
Bieliauskaitė	Ns	348
farširuoti	V	348
holografinis	A	348
Iešmantas	Ns	348
išgenėti	V	348
kosmetiškai	R	348
Lenartas	Nf	348
Liliana	Nf	348
masažuoklis	N	348
Mulevičius	Ns	348
naratyvinis	A	348
Naudžiūnas	Ns	348
neakivaizdininkas	N	348
nebevaidinti	V	348
nefinišuoti	V	348
nenuskambėti	V	348
nesusitikinėti	V	348
netvirtinimas	N	348
nudrengti	V	348
nugnybti	V	348
Onaitis	Ns	348
oponavimas	N	348
paplekšnoti	V	348
Paukštas	Ns	348
Petrutis	Ns	348
rezorbcija	N	348
rusniškė	N	348
Šakienė	Ns	348
šeimininkavimas	N	348
šimtadalis	N	348
šimtadalis	M	348
suklypti	V	348
tampra	N	348
uolynas	N	348
Užulėnis	Ng	348
vynelis	N	348
amoniakinis	A	347
antelė	N	347
Buliukas	Ns	347
burnelė	N	347
celofaninis	A	347
Cimbolas	Ns	347
Cvetkovas	Ns	347
Dniepras	Ng	347
Domantė	Nf	347
egzekutorius	N	347
fam.	Y	347
Fetelis	Ns	347
fitoncidas	N	347
Gerdašiai	Ng	347
gyvastingumas	N	347
gudė	N	347
išskrosti	V	347
įtrauktis	N	347
įvykimas	N	347
Jakelaitis	Ns	347
Jurjonas	Ns	347
Karaliūnienė	Ns	347
karštinis	A	347
Kernavas	Ng	347
kiborgas	N	347
kišenvagystė	N	347
kiuvetė	N	347
kontribucija	N	347
Labutytė	Ns	347
laidelis	N	347
Latakaitė	Ns	347
Lazdėnai	Ng	347
Liorančas	Ns	347
Maneikis	Ns	347
MRT	Y	347
neišsivaikščioti	V	347
nepersimesti	V	347
Papiliai	Ng	347
Patumsis	Ns	347
pienligė	N	347
piktokas	A	347
pirštuotas	A	347
pokrizinis	A	347
Putna	Ns	347
raganiškas	A	347
Raščiauskas	Ns	347
saulažolė	N	347
Ščavinskas	Ns	347
šėkas	N	347
Skairienė	Ns	347
Skvarnavičius	Ns	347
Švarca	Ns	347
Tautkevičius	Ns	347
Tirkiliškiai	Ng	347
Veverskis	Ns	347
Žirnys	Ns	347
acetatinis	A	346
amplitudinis	A	346
Augustaitytė	Ns	346
Aukštupėnai	Ng	346
avėjimas	N	346
Bareišis	Ns	346
basakojis	A	346
besibrauti	V	346
braškinis	A	346
čepsėti	V	346
EERRI	Y	346
eksperimentuotojas	N	346
emu	N	346
fortifikacinis	A	346
Garbačiauskaitė	Ns	346
Hėgelis	Ns	346
iksas	N	346
Išganaitis	Ns	346
kaklinis	A	346
kalkingas	A	346
karpytas	A	346
Kensgaila	Ns	346
Krūminienė	Ns	346
Kuzmickienė	Ns	346
kvaištelti	V	346
lesinimas	N	346
mažulytis	A	346
multikultūralizmas	N	346
naumiestiškis	N	346
neperšalti	V	346
pametimas	N	346
patalkinti	V	346
pribuvėjas	N	346
propilenas	N	346
racionalistas	N	346
radiotechnika	N	346
raišas	A	346
rašinėtojas	N	346
raumenukas	N	346
Skarelis	Ns	346
spragtelėti	V	346
susilydyti	V	346
tebedaryti	V	346
Uleckas	Ns	346
užtiltė	N	346
vakansija	N	346
visasąjunginis	A	346
Viskanta	Nf	346
Zimanas	Ns	346
Benkunskas	Ns	345
beširdė	N	345
chalva	N	345
chasidas	N	345
devyndarbė	N	345
ekumenizmas	N	345
Elenbergaitė	Ns	345
Fusedmarc	Np	345
gardelis	N	345
Inčius	Ns	345
išvaikymas	N	345
Jakubėnaitė	Ns	345
Kaklys	Ns	345
kardžuvė	N	345
keverzonė	N	345
kioskininkas	N	345
Kliukaitė	Ns	345
konvekcinis	A	345
Liubertas	Ns	345
Lukjanovas	Ns	345
Luknė	Ng	345
maldingas	A	345
Metrikas	Ns	345
Mindaugiai	Ng	345
Mitė	Ns	345
Monkauskaitė	Ns	345
neįgalioji	N	345
nepalietė	N	345
neplyšti	V	345
nešmeižti	V	345
nugramdyti	V	345
ondatra	N	345
paspardyti	V	345
pašviesėti	V	345
Plumpa	Ns	345
procimidonas	N	345
punktyras	N	345
samaninis	A	345
Ščerbakovas	Ns	345
silpninimas	N	345
šlapiai	R	345
sorbitas	N	345
sugraibyti	V	345
švokšti	V	345
Trampas	Ns	345
užsimiršimas	N	345
Vilkelienė	Ns	345
Witoldas	Nf	345
žirgininkas	N	345
adenoma	N	344
Antanašė	Ng	344
apsirišti	V	344
apsižioplinti	V	344
Arginta	Nf	344
atšviesti	V	344
baktericidinis	A	344
barbariškai	R	344
Čepelė	Ns	344
daktariškas	A	344
Dorotėja	Nf	344
Draučiai	Ng	344
Gilis	Ng	344
gruntuoti	V	344
inventorizacinis	A	344
išsiviepti	V	344
Juozapava	Ng	344
karjerizmas	N	344
Katelė	Ns	344
kauptuvas	N	344
ksilenas	N	344
Kutuzovas	Ns	344
LSFS	Y	344
LTF	Y	344
Matiukienė	Ns	344
Merilina	Nf	344
metalurgas	N	344
montekristas	N	344
neišaiškėti	V	344
neįšalti	V	344
nekrėsti	V	344
nesišnekėti	V	344
nesurišti	V	344
noradrenalinas	N	344
paklydėlė	N	344
pakuotis	V	344
Pankevičienė	Ns	344
paryžietiškas	A	344
peršėti	V	344
persiejimas	N	344
Petravičiūtė	Ns	344
Plioplys	Ns	344
prisišnekėti	V	344
pusdykis	A	344
Rastenytė	Ns	344
riteriškas	A	344
šalinė	N	344
siauralapis	A	344
Šimienė	Ns	344
širmas	A	344
šiuometinis	A	344
Snapkauskas	Ns	344
Sokolovskis	Ns	344
Švedkauskas	Ns	344
šventadienis	A	344
tetėnas	N	344
užu	S	344
Užugiris	Ng	344
vabalninkietis	N	344
vėjavaikiškas	A	344
vektorinis	A	344
Venslovaitienė	Ns	344
Žičkuvienė	Ns	344
Žiedas	Ns	344
žievinis	A	344
žuolis	N	344
atsietai	R	343
Bartkuvienė	Ns	343
Darsūniškis	Ng	343
Dervinis	Ns	343
fagas	N	343
fašistuojantis	A	343
frizas	N	343
gateris	N	343
Hudsonas	Ng	343
iškapoti	V	343
įsodinimas	N	343
Jarulis	Ns	343
juodraštinis	A	343
Krukas	Nf	343
Larinas	Ns	343
LDA	Y	343
lokiukas	N	343
Marčius	Nf	343
mergšė	N	343
neišryškėti	V	343
nekontaktinis	A	343
nepasikalbėti	V	343
nevėkšla	N	343
pasilikimas	N	343
pypt	O	343
planimetrinis	A	343
prioritetiškai	R	343
Remarkas	Ns	343
Stripeikienė	Ns	343
susiskirstymas	N	343
verpstas	N	343
akiplotis	N	342
antinomija	N	342
artileristas	N	342
Aukselis	Ns	342
autoritariškas	A	342
Bydgoščius	Ng	342
boninis	A	342
furoras	N	342
Gečys	Ns	342
gnoma	N	342
iliustratyvus	A	342
Ingutė	Nf	342
inkubuoti	V	342
interaktyvumas	N	342
išgrauža	N	342
jambas	N	342
karaliūnas	N	342
Kynas	Ns	342
kokamedis	N	342
Krakys	Ns	342
Kručkauskas	Ns	342
laužimas	N	342
lepšė	N	342
LGF	Y	342
Lūšiai	Ng	342
Marma	Ns	342
mopsas	N	342
nebeišvyti	V	342
nebeverti	V	342
nekonfliktiškas	A	342
nemėgiamas	A	342
nešūkauti	V	342
neteistumas	N	342
nežvejoti	V	342
Nomeika	Ns	342
nurašinėti	V	342
pabrėžimas	N	342
parkeliauti	V	342
penkioliktukas	N	342
Pilitauskienė	Ns	342
Pjemontas	Ng	342
Pranckevičienė	Ns	342
prisigaudyti	V	342
refleksinis	A	342
šaudyklinis	A	342
šleikštus	A	342
stirnaitė	N	342
Šulinskas	Ns	342
tachometras	N	342
triasas	N	342
Valerijona	Nf	342
valkatavimas	N	342
veikliai	R	342
vienmarškinis	A	342
Vincenta	Nf	342
žadintojas	N	342
Zaunys	Ns	342
Žiūrai	Ng	342
Airošius	Ns	341
ardytoja	N	341
atmestinis	A	341
biseksualumas	N	341
braukymas	N	341
Bulhakas	Ns	341
cementuoti	V	341
Čenstakava	Ng	341
dekoncentravimas	N	341
Dimšienė	Ns	341
Druskinas	Ns	341
egzistencialistas	N	341
ekonometrinis	A	341
fechtuotoja	N	341
Fokinas	Ns	341
fotometrinis	A	341
gamyklėlė	N	341
gedėtojas	N	341
kohorta	N	341
krūptelėti	V	341
lapiukas	N	341
mindžioti	V	341
Minkevičienė	Ns	341
nebevežti	V	341
neįsimylėti	V	341
Nemunas	Nf	341
nesiilsėti	V	341
ornamentinis	A	341
Osauskas	Ns	341
paagituoti	V	341
paskenduolė	N	341
pereiga	N	341
proliferacija	N	341
racionalizacija	N	341
reakcinis	A	341
Sinsinatis	Ng	341
Smalvos	Ng	341
Tauragis	Ns	341
tereikšti	V	341
teritoriškai	R	341
Titarenka	Ns	341
Treikauskas	Ns	341
užiminėti	V	341
užraukti	V	341
Valevičius	Ns	341
Vasilevičius	Ns	341
Veritas	Np	341
Barčiai	Ng	340
Belis	Ns	340
Birgelis	Ns	340
Dabulskis	Ns	340
dekriminalizuoti	V	340
denatūravimas	N	340
estiškai	R	340
fagotas	N	340
fikusas	N	340
Girdziušas	Ns	340
grubuma	N	340
iliuminacija	N	340
intriguojančiai	R	340
įsisiurbimas	N	340
išpainioti	V	340
Jarašūnas	Ns	340
juodagalvis	A	340
Kaušakys	Ns	340
Kleckas	Ng	340
Kovačas	Ns	340
Kučingis	Ns	340
Lamauskas	Ns	340
lengvasvoris	A	340
nebeplanuoti	V	340
negirtauti	V	340
nemoteriškas	A	340
nesugriausti	V	340
nutempimas	N	340
pakartotinumas	N	340
panelytė	N	340
piktokai	R	340
pjovėja	N	340
Poniatovskis	Ns	340
portugališkai	R	340
pragaištis	N	340
prisėdimas	N	340
registruotojas	N	340
Rolanas	Ns	340
Šakenis	Ns	340
sekundinis	A	340
šermuonėlis	N	340
Servienė	Ns	340
simetrinis	A	340
Skapas	Ns	340
skriemulinis	A	340
Skudutis	Ns	340
susitvenkti	V	340
susmeigti	V	340
sutapatinimas	N	340
sužieduoti	V	340
Svajūnė	Nf	340
Švoba	Ns	340
Teišerskis	Ns	340
Trečiokaitė	Ns	340
tupinėti	V	340
užgaulė	N	340
vardijimas	N	340
Varnikai	Ng	340
Vilkinis	Ns	340
Vydeniai	Ng	340
zoonozė	N	340
aplėkti	V	339
Astoras	Ns	339
baimingai	R	339
biurokratiškai	R	339
brizas	N	339
Čiulėnai	Ng	339
demagogiškai	R	339
ekvatorius	N	339
gaivintojas	N	339
galvotrūkčiais	R	339
gradientas	N	339
hermetizuoti	V	339
intonacinis	A	339
išsidėlioti	V	339
įtikėjimas	N	339
jūsiškė	N	339
Kalvaitienė	Ns	339
kontūzija	N	339
Kuprusevičius	Ns	339
lalėti	V	339
Lanauskas	Ns	339
Laugalienė	Ns	339
Mikalauskis	Ns	339
milžiniškai	R	339
neprabusti	V	339
Nesterovas	Ns	339
neužskaityti	V	339
nominalinis	A	339
nustygti	V	339
osteomielitas	N	339
Overlingienė	Ns	339
parkūras	N	339
pipiriukas	N	339
pynutė	N	339
Sereikienė	Ns	339
šiuosyk	R	339
šnypštimas	N	339
suklikti	V	339
teištarti	V	339
tunelinis	A	339
tuštokas	A	339
unifikavimas	N	339
Vėžionys	Ng	339
Žabaliūnas	Ns	339
Žalkauskas	Ns	339
Žekonis	Ns	339
Bondarevas	Ns	338
Butyrkos	Ng	338
Čečeta	Ns	338
Čižiūnai	Ng	338
drumzlė	N	338
ezoterikas	N	338
GRT	Y	338
Ingvaras	Nf	338
Janavičiūtė	Ns	338
kalendoriukas	N	338
kalija	N	338
Kirna	Ns	338
klojėja	N	338
korikas	N	338
kumpelis	N	338
LFS	Y	338
Likša	Ns	338
Makačinas	Ns	338
manitolis	N	338
nebeatsigauti	V	338
nediskriminacija	N	338
nenuslopinti	V	338
nepakovoti	V	338
neprikibti	V	338
pagraudenimas	N	338
Palios	Ng	338
partkomas	N	338
patamsinti	V	338
Pažėrai	Ng	338
pionieriškas	A	338
plepė	N	338
poligaminis	A	338
praskinti	V	338
Prialgauskas	Ns	338
šlapinti	V	338
Šližys	Ns	338
Stragnai	Ng	338
sumenkinimas	N	338
tedirbti	V	338
Texaco	Np	338
trolinti	V	338
vaizdingumas	N	338
validolis	N	338
Vencius	Ns	338
venesuelietė	N	338
Vičienė	Ns	338
angliavandenilinis	A	337
Antonija	Nf	337
apvalkalėlis	N	337
atsilikėlė	N	337
atsvaras	N	337
Barzdžiai	Ng	337
bėjus	N	337
butanolis	N	337
cheresas	N	337
cikliškai	R	337
Čiurinskas	Ns	337
daraktorius	N	337
debitorė	N	337
dekodavimas	N	337
EDF	Y	337
etiškumas	N	337
gyventis	V	337
Grasilda	Nf	337
grybštelti	V	337
hetera	N	337
individualinis	A	337
internacionalizmas	N	337
išbudinti	V	337
Jonkutė	Ns	337
kanalizacinis	A	337
Kauzonas	Ns	337
komunistuoti	V	337
konkistadoras	N	337
Kuvertas	Ns	337
likviduotoja	N	337
Litvinienė	Ns	337
lyžtelti	V	337
Matukienė	Ns	337
misionieriškas	A	337
Musorgskis	Ns	337
nedergti	V	337
nesudrumsti	V	337
netoksiškas	A	337
nuliukas	N	337
pabučiavimas	N	337
papildinys	N	337
Pilypienė	Ns	337
rabatas	N	337
Rasinas	Ns	337
sakomasis	A	337
Šapola	Ns	337
sąrašėlis	N	337
savitikslis	N	337
scholastinis	A	337
šnekutis	N	337
Šumskienė	Ns	337
suplauti	V	337
šviesybė	N	337
užsikimšimas	N	337
užsiveisti	V	337
žymiklis	N	337
Arūnas	Ns	336
bajoraitė	N	336
Belmondo	Ns	336
Beržai	Ng	336
bloguoju	R	336
Čartoriskis	Ns	336
charakterinis	A	336
cukrainė	N	336
dekompresija	N	336
Eketė	Ng	336
Filipovičius	Ns	336
geocheminis	A	336
išgilinti	V	336
išpardavinėti	V	336
isterikė	N	336
kalvarijietis	N	336
kanalizuoti	V	336
kėliklis	N	336
krūtininis	A	336
Lagunavičius	Ns	336
lakinis	A	336
Lakis	Ns	336
linksmintoja	N	336
Mekongas	Ng	336
metiramas	N	336
Musius	Ns	336
neįsikišti	V	336
nepaskelbimas	N	336
nepridurti	V	336
neslysti	V	336
pabalnoti	V	336
Paypost	Np	336
pavergėjas	N	336
Pažūsienė	Ns	336
Preikša	Ns	336
pusprotė	N	336
Railienė	Ns	336
salsvas	A	336
serafimas	N	336
Sirutis	Ns	336
Skripkauskas	Ns	336
skrybėlėtas	A	336
šurmulingas	A	336
terliotojas	N	336
užgrūsti	V	336
Zabielaitė	Ns	336
Zigfridas	Nf	336
antikomunistas	N	335
atveika	N	335
baustis	V	335
bliovimas	N	335
Ceikiniai	Ng	335
Čižauskaitė	Ns	335
dalba	N	335
Egziuperi	Ns	335
eseistinis	A	335
etapinis	A	335
fabrikantas	N	335
gamtiškas	A	335
Griežė	Ns	335
Grybėnienė	Ns	335
gundytojas	N	335
heksanas	N	335
idealizavimas	N	335
ignalinietis	N	335
Jodelė	Ns	335
Kairevičius	Ns	335
Kavoliai	Ng	335
Kukta	Ns	335
liberalėti	V	335
Linga	Ns	335
Lūšė	Ng	335
Malašauskas	Ns	335
Matusevičienė	Ns	335
muiluoti	V	335
Murava	Ng	335
murdytis	V	335
nagelis	N	335
nebedainuoti	V	335
nebyrėti	V	335
neguldyti	V	335
neišradinėti	V	335
nekompetentingai	R	335
neperskirti	V	335
nusišaipyti	V	335
Paketūras	Ns	335
pamatuotai	R	335
pasiilsėti	V	335
pasiturimai	R	335
pavadovauti	V	335
piemenė	N	335
pjudymas	N	335
plunksnuotas	A	335
prikristi	V	335
prirašymas	N	335
Rabatas	Ng	335
reanimatologija	N	335
redukcinis	A	335
Širvinskienė	Ns	335
spirtis	V	335
stacija	N	335
šūkavimas	N	335
sukomanduoti	V	335
sulenkimas	N	335
sutaptis	N	335
švėkšniškė	N	335
šventuolis	N	335
taksonominis	A	335
tapšnotojas	N	335
taviškis	P	335
toteminis	A	335
trapiai	R	335
Trinapolis	Ng	335
triukšmingumas	N	335
ūkiškumas	N	335
uosialapis	A	335
užgimimas	N	335
Vereniūtė	Ns	335
Vinkšnėnai	Ng	335
VTMT	Y	335
Zamenhofas	Ns	335
atitokti	V	334
avinukas	N	334
Bartulienė	Ns	334
bisfenolis	N	334
cikada	N	334
daugiatikslis	A	334
Dominauskaitė	Ns	334
dūmtakis	N	334
džigitas	N	334
fundacija	N	334
hidalgas	N	334
instrumentininkas	N	334
iškreipimas	N	334
Jerichas	Ng	334
Jovaišis	Ns	334
Jurkšaitis	Ns	334
keliaraištis	N	334
klipata	N	334
koktumas	N	334
kolosalus	A	334
Kondrotaitė	Ns	334
koresponduoti	V	334
kuoktelti	V	334
laistytuvas	N	334
Levinsonas	Ns	334
Markelis	Ns	334
melodika	N	334
Mindūnai	Ng	334
neestetiškas	A	334
nepatiekti	V	334
neploti	V	334
Norgėlai	Ng	334
nuobodis	N	334
nuristi	V	334
nutvilkyti	V	334
pamankštinti	V	334
pedologinis	A	334
prefiksas	N	334
Pukenis	Ns	334
renis	N	334
Ričkuvienė	Ns	334
sąskaityba	N	334
Saulaitis	Ns	334
Šemerys	Ns	334
sidabražolė	N	334
skubintis	V	334
Smalinskas	Ns	334
stetoskopas	N	334
sukietėjimas	N	334
suskaityti	V	334
Titikaka	Ng	334
voltmetras	N	334
žilaplaukis	A	334
Agintas	Ns	333
ampermetras	N	333
antinas	N	333
atsiskaitomybė	N	333
autokratija	N	333
avižėlė	N	333
Baliukevičius	Ns	333
Baltaduonis	Ns	333
bandonija	N	333
beplaukis	A	333
binarinis	A	333
buduaras	N	333
Dekartas	Ns	333
denominacija	N	333
Erotas	Nf	333
eventualus	A	333
Ferenca	Ns	333
Gaižiūnas	Ns	333
generalvikaras	N	333
Gineitas	Ns	333
gyvinti	V	333
ietigalis	N	333
išeksploatuoti	V	333
išklerti	V	333
Janulevičienė	Ns	333
Jauniškienė	Ns	333
Kačkus	Ns	333
Kazimierėnas	Ns	333
kondicionuoti	V	333
kultūrologinis	A	333
Kunigiškis	Ns	333
Lazūnai	Ng	333
Makniūnai	Ng	333
neatsinešti	V	333
nediktuoti	V	333
neišanalizuoti	V	333
nenutrinti	V	333
nepasiteirauti	V	333
nesukaupimas	N	333
Nugaris	Ns	333
persukimas	N	333
piridoksinas	N	333
praporščikas	N	333
Prėskienytė	Ns	333
Raudonikiai	Ng	333
Šipkauskas	Ns	333
siundyti	V	333
šlapti	V	333
smuikelis	N	333
sprūsti	V	333
Stungiai	Ng	333
Sūkuriai	Ng	333
supurenti	V	333
takumas	N	333
taupytis	V	333
terminalinis	A	333
Trinkūnienė	Ns	333
ūžauti	V	333
užpiltinė	N	333
užsisėsti	V	333
varžybinis	A	333
žemėtvarkininkė	N	333
žvarbokas	A	333
apvemti	V	332
autoreaktingas	A	332
bajorystė	N	332
bambėjimas	N	332
baobabas	N	332
besivartyti	V	332
Čokovas	Ns	332
Diska	Ns	332
duobkasė	N	332
dvimotoris	A	332
dvisluoksnis	A	332
flakonėlis	N	332
IEA	Y	332
išmintingumas	N	332
juodalksnynas	N	332
karbiuratorius	N	332
klupinėti	V	332
Kumpelis	Ns	332
Laluna	Np	332
Lipeckas	Ng	332
magnitudė	N	332
maumas	N	332
Mejerholdas	Ns	332
Mizeris	Ns	332
multivitaminas	N	332
neatgailauti	V	332
neidealus	A	332
neiššokti	V	332
neperpūsti	V	332
nesifilmuoti	V	332
neurotikas	N	332
Pandžabas	Ng	332
pasiskraidymas	N	332
Piešta	Ng	332
plūktis	V	332
prasiskirti	V	332
prisitaikėliškumas	N	332
ravėjimas	N	332
registracinis	A	332
rekviem	N	332
rieškučios	N	332
riešutinis	A	332
Salatka	Ns	332
šapas	N	332
saviironija	N	332
Staniulionis	Ns	332
Steikūnas	Ns	332
topinis	A	332
ūgtelėjimas	N	332
veiksmažodinis	A	332
vendeta	N	332
žvairumas	N	332
Auliai	Ng	331
Bagavičius	Ns	331
balnoti	V	331
Bičiūnaitė	Ns	331
bitininkavimas	N	331
brazdas	N	331
ciflutrinas	N	331
Čipkutė	Ns	331
Daugelavičius	Ns	331
disertantas	N	331
elektromechanika	N	331
fosfatazė	N	331
grimuoti	V	331
grindjuostė	N	331
Grinkevičiūtė	Ns	331
Gruodytė	Ns	331
Guščinas	Ns	331
iškabinėti	V	331
Jurgaitė	Ns	331
Kabarda	Ng	331
Karklinis	Ns	331
kergti	V	331
Klusas	Ns	331
Konstancas	Ng	331
krūmapjovė	N	331
lizinas	N	331
Menuhinas	Ns	331
neapibrėžtis	N	331
neapsistoti	V	331
neišsigydyti	V	331
nepaplisti	V	331
nepereinamas	A	331
nevirškinti	V	331
nusižiovauti	V	331
pertepti	V	331
Piaulokas	Ns	331
plėšikiškas	A	331
Ročys	Ns	331
semitas	N	331
Sirvydytė	Ns	331
skulptūriškas	A	331
šnekučiuoti	V	331
Soldinas	Ng	331
suagituoti	V	331
Svilainis	Ns	331
tekisti	V	331
trečiaeilis	A	331
Unix	Np	331
užminkyti	V	331
užsikonservuoti	V	331
Vaičikonis	Ns	331
Vemblis	Ng	331
aplenkimas	N	330
Atila	Nf	330
autokratiškas	A	330
Beinorienė	Ns	330
Bendaravičius	Ns	330
beprarasti	V	330
Boguševičius	Ns	330
chamiškumas	N	330
Dainys	Nf	330
Daniūnai	Ng	330
dvišlaitis	A	330
Gegrėnai	Ng	330
germaniškas	A	330
GNSS	Y	330
guotas	N	330
Horodlė	Ng	330
Jančė	Ns	330
Jeremičius	Ns	330
